position,velocity,acceleration,jerk,heading,dt,x,y
-0.01250, -0.50000, -10.00000, -200.00000, 0.00000, 0.05000, 5.51250, 16.26397, false
-0.05000, -0.75000, -5.00000, 100.00000, 0.00000, 0.05000, 5.55000, 16.26397, false
-0.11250, -1.25000, -10.00000, -100.00000, 0.00000, 0.05000, 5.61250, 16.26397, false
-0.20000, -1.75000, -10.00000, 0.00000, 0.00000, 0.05000, 5.70000, 16.26397, false
-0.31250, -2.25000, -10.00000, -0.00000, 0.00000, 0.05000, 5.81250, 16.26397, false
-0.45000, -2.75000, -10.00000, -0.00000, 0.00000, 0.05000, 5.95000, 16.26397, false
-0.61250, -3.25000, -10.00000, 0.00000, 0.00000, 0.05000, 6.11250, 16.26397, false
-0.80000, -3.75000, -10.00000, 0.00000, 0.00000, 0.05000, 6.30000, 16.26397, false
-1.01250, -4.25000, -10.00000, -0.00000, 0.00000, 0.05000, 6.51250, 16.26397, false
-1.25000, -4.75000, -10.00000, -0.00000, 0.00000, 0.05000, 6.75000, 16.26397, false
-1.51250, -5.25000, -10.00000, 0.00000, 0.00000, 0.05000, 7.01250, 16.26397, false
-1.80000, -5.75000, -10.00000, -0.00000, 0.00000, 0.05000, 7.30000, 16.26397, false
-2.10000, -6.00000, -5.00000, 100.00000, 0.00000, 0.05000, 7.60000, 16.26397, false
-2.40000, -6.00000, -0.00000, 100.00000, 0.00000, 0.05000, 7.90000, 16.26397, false
-2.70000, -6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.20000, 16.26397, false
-3.00000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.50000, 16.26397, false
-3.30000, -6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.80000, 16.26397, false
-3.60000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.10000, 16.26397, false
-3.90000, -6.00000, 0.00000, -0.00000, 0.00000, 0.05000, 9.40000, 16.26397, false
-4.20000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.70000, 16.26397, false
-13.91570, -194.31408, -3766.28167, -75325.63338, 0.64453, 0.05000, 18.79113, 19.69126, false
-13.92771, -0.24012, 3881.47933, 152955.22007, 0.64418, 0.05000, 18.80072, 19.69847, false
-14.25211, -6.48792, -124.95609, -80128.70848, 0.63246, 0.05000, 19.06118, 19.89185, false
-14.59542, -6.86628, -7.56709, 2347.78003, 0.61536, 0.05000, 19.33973, 20.09254, false
-14.95660, -7.22362, -7.14691, 8.40362, 0.59193, 0.05000, 19.63698, 20.29770, false
-15.33459, -7.55987, -6.72493, 8.43944, 0.56119, 0.05000, 19.95376, 20.50393, false
-15.72845, -7.87719, -6.34642, 7.57030, 0.52228, 0.05000, 20.29111, 20.70721, false
-16.13755, -8.18184, -6.09303, 5.06774, 0.47462, 0.05000, 20.65031, 20.90300, false
-16.56187, -8.48640, -6.09113, 0.03800, 0.41821, 0.05000, 21.03294, 21.08640, false
-17.00244, -8.81144, -6.50082, -8.19368, 0.35400, 0.05000, 21.44102, 21.25246, false
-17.46168, -9.18480, -7.46721, -19.32796, 0.28420, 0.05000, 21.87707, 21.39656, false
-17.94238, -9.61407, -8.58550, -22.36568, 0.21255, 0.05000, 22.34306, 21.51458, false
-18.43873, -9.92703, -6.25921, 46.52579, 0.14508, 0.05000, 22.83156, 21.60251, false
-18.94552, -10.13581, -4.17546, 41.67496, 0.08717, 0.05000, 23.33500, 21.66069, false
-19.46619, -10.41331, -5.54999, -27.49053, 0.04196, 0.05000, 23.85462, 21.69362, false
-20.00356, -10.74747, -6.68327, -22.66556, 0.01205, 0.05000, 24.39182, 21.70734, false
-20.56052, -11.13912, -7.83308, -22.99635, 0.00009, 0.05000, 24.94877, 21.70980, false
-20.61175, -1.02460, 202.29047, 4202.47106, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 20.49201, -3635.96927, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, -409.84012, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
-20.61175, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 21.70980, false
